connectivity,integration_hh_t
608.0,11.6954
399.0,7.2078
490.0,9.2009
278.0,8.7686
391.0,6.6546
596.0,9.196
606.0,9.0315
510.0,8.2345
487.0,10.374
551.0,8.7418
572.0,9.9761
552.0,7.6922
454.0,7.8183
559.0,9.8615
438.0,7.1448
242.0,7.2873
379.0,7.5137
598.0,9.0985
510.0,9.5489
465.0,7.7722
243.0,8.3792
393.0,9.5383
380.0,8.7329
497.0,9.3512
459.0,7.1627
470.0,8.3588
497.0,7.309
173.0,7.0077
385.0,6.0625
143.0,6.1165
632.0,9.041
479.0,7.6613
166.0,6.7197
244.0,5.4765
268.0,5.8477
194.0,6.8924
481.0,9.7996
440.0,8.4327
256.0,5.6089
254.0,6.8731
410.0,6.4715
238.0,6.9764
388.0,9.6999
493.0,7.2811
498.0,8.2187
562.0,8.8317
491.0,8.6843
516.0,7.6681
515.0,8.9189
459.0,7.7582
564.0,9.2207
536.0,7.4292
330.0,8.7596
332.0,8.8728
433.0,8.412
484.0,8.4785
536.0,11.1704
379.0,7.6171
459.0,8.0643
512.0,7.3153
234.0,8.3669
316.0,8.2662
347.0,9.3006
450.0,7.5734
267.0,5.8457
415.0,8.1991
585.0,10.0344
465.0,8.4161
407.0,7.356
463.0,7.1746
362.0,9.2905
492.0,7.7094
531.0,7.4164
396.0,6.1825
534.0,7.4228
344.0,5.8259
213.0,7.1299
315.0,8.6931
500.0,7.6238
515.0,7.3623
483.0,8.4701
426.0,8.5375
467.0,8.3588
515.0,9.6077
460.0,7.8937
203.0,6.553
508.0,9.689
506.0,9.3208
198.0,7.0077
227.0,6.5958
504.0,7.2935
345.0,6.039
543.0,7.455
454.0,7.1477
463.0,9.7495
500.0,7.7337
140.0,5.8697
397.0,8.2424
448.0,7.5105
372.0,6.9566
334.0,7.6238
385.0,9.5066
481.0,8.4244
294.0,8.7776
107.0,5.7249
458.0,7.5901
269.0,8.1331
505.0,9.3056
561.0,7.7547
447.0,7.8793
392.0,6.7834
197.0,8.1913
521.0,8.5079
419.0,7.9156
335.0,6.5806
522.0,7.6887
378.0,8.529
430.0,9.9242
594.0,11.3777
170.0,6.4399
416.0,7.5401
358.0,6.8566
520.0,8.6406
