connectivity,integration_hh_t
145.0,6.2102
395.0,10.4276
425.0,9.9875
144.0,6.333
467.0,11.4113
582.0,12.7029
441.0,10.6209
441.0,9.7899
426.0,10.2316
255.0,9.0419
472.0,11.1427
368.0,9.3206
534.0,11.569
175.0,6.7786
457.0,11.2115
498.0,11.2
362.0,9.9784
488.0,11.0298
189.0,7.9116
583.0,12.7925
457.0,10.6105
444.0,10.3287
535.0,11.6432
446.0,10.3581
431.0,8.9674
222.0,7.0326
151.0,6.385
385.0,10.4376
141.0,7.0691
580.0,12.7326
478.0,11.3637
431.0,10.08
249.0,8.21
488.0,12.0826
532.0,10.7893
362.0,9.3848
336.0,9.5411
346.0,9.0947
283.0,8.2661
468.0,11.177
462.0,11.1541
458.0,11.3518
551.0,10.9853
577.0,12.7029
464.0,11.3164
164.0,6.5819
327.0,10.1647
456.0,11.293
465.0,11.731
191.0,7.4718
526.0,10.9192
301.0,7.2624
506.0,10.5081
522.0,11.4836
322.0,10.0893
396.0,9.9057
316.0,10.0336
469.0,11.1313
454.0,10.4778
449.0,10.8864
431.0,10.0893
425.0,10.3581
443.0,10.1458
439.0,11.3047
382.0,10.3779
464.0,9.8609
495.0,10.3091
433.0,10.0987
386.0,9.5579
419.0,9.9419
587.0,12.7326
453.0,11.0298
401.0,9.8698
277.0,9.1252
362.0,10.3189
156.0,6.4113
450.0,10.3483
128.0,6.1194
469.0,11.4594
464.0,9.8788
412.0,10.0059
195.0,6.9964
421.0,9.9601
456.0,9.7899
344.0,9.0045
454.0,10.3878
416.0,10.0059
480.0,11.6184
537.0,10.7361
193.0,6.6058
436.0,9.9419
561.0,12.4558
445.0,10.9301
581.0,12.8075
231.0,7.5705
143.0,5.4982
581.0,12.7625
342.0,8.6883
119.0,6.0852
445.0,11.2
451.0,10.9411
495.0,11.606
441.0,10.7893
467.0,10.8
248.0,6.8083
545.0,11.4594
422.0,10.1175
305.0,9.6768
490.0,11.0634
239.0,8.0283
441.0,10.0336
410.0,9.7811
532.0,11.8977
532.0,12.1095
398.0,9.6085
431.0,10.1175
449.0,10.368
504.0,11.9238
499.0,10.4476
470.0,11.2813
377.0,9.2729
71.0,5.2898
471.0,10.6521
342.0,7.7373
429.0,9.6854
497.0,11.0186
222.0,8.1607
452.0,10.7467
187.0,7.431
464.0,11.2
362.0,8.9087
188.0,7.7209
