col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t
25,14,400,224,416,240,-1230.0,-1150.0,513.0,593.0,1,555,142080.0,287.0,12.1229,0.0204,830.3755
26,14,416,224,432,240,-1150.0,-1070.0,513.0,593.0,1,562,143872.0,292.0,12.4132,0.0206,934.8402
27,14,432,224,448,240,-1070.0,-990.0,513.0,593.0,1,582,148992.0,332.0,12.7029,0.0207,1187.4168
28,14,448,224,464,240,-990.0,-910.0,513.0,593.0,1,594,152064.0,335.0,12.8986,0.0207,1360.4129
29,14,464,224,480,240,-910.0,-830.0,513.0,593.0,1,585,149760.0,332.0,12.6733,0.0207,1418.2927
30,14,480,224,496,240,-830.0,-750.0,513.0,593.0,1,535,136960.0,325.0,11.9762,0.0207,1172.4624
31,14,496,224,512,240,-750.0,-670.0,513.0,593.0,1,471,120576.0,247.0,10.6521,0.0205,545.8594
32,14,512,224,528,240,-670.0,-590.0,513.0,593.0,1,368,94208.0,216.0,9.3206,0.0203,230.5963
33,14,528,224,544,240,-590.0,-510.0,513.0,593.0,1,325,83200.0,155.0,7.7483,0.0200,145.2616
34,14,544,224,560,240,-510.0,-430.0,513.0,593.0,1,308,78848.0,147.0,7.2965,0.0195,116.2284
35,14,560,224,576,240,-430.0,-350.0,513.0,593.0,1,301,77056.0,144.0,7.2624,0.0192,111.2354
36,14,576,224,592,240,-350.0,-270.0,513.0,593.0,1,289,73984.0,141.0,7.1574,0.0189,100.5330
37,14,592,224,608,240,-270.0,-190.0,513.0,593.0,1,275,70400.0,138.0,7.0783,0.0186,94.2963
38,14,608,224,624,240,-190.0,-110.0,513.0,593.0,1,258,66048.0,134.0,6.9429,0.0182,82.4987
43,14,688,224,704,240,210.0,290.0,513.0,593.0,1,181,46336.0,142.0,7.9002,0.0188,462.4553
44,14,704,224,720,240,290.0,370.0,513.0,593.0,1,187,47872.0,139.0,7.8602,0.0187,441.7463
45,14,720,224,736,240,370.0,450.0,513.0,593.0,1,187,47872.0,136.0,6.5345,0.0186,406.1157
46,14,736,224,752,240,450.0,530.0,513.0,593.0,1,167,42752.0,133.0,6.4877,0.0184,339.8960
47,14,752,224,768,240,530.0,610.0,513.0,593.0,1,128,32768.0,132.0,6.3293,0.0181,193.2414
48,14,768,224,784,240,610.0,690.0,513.0,593.0,1,112,28672.0,98.0,5.2795,0.0177,24.0869
49,14,784,224,800,240,690.0,770.0,513.0,593.0,1,114,29184.0,96.0,5.2770,0.0173,28.0866
50,14,800,224,816,240,770.0,850.0,513.0,593.0,1,119,30464.0,104.0,5.3208,0.0169,45.0241
51,14,816,224,832,240,850.0,930.0,513.0,593.0,1,127,32512.0,108.0,5.3787,0.0166,85.1202
52,14,832,224,848,240,930.0,1010.0,513.0,593.0,1,141,36096.0,125.0,5.7027,0.0163,179.8558
53,14,848,224,864,240,1010.0,1090.0,513.0,593.0,1,175,44800.0,154.0,6.7786,0.0160,492.2833
54,14,864,224,880,240,1090.0,1170.0,513.0,593.0,1,195,49920.0,156.0,6.9829,0.0156,713.3730
55,14,880,224,896,240,1170.0,1250.0,513.0,593.0,1,192,49152.0,156.0,6.9695,0.0153,699.6928
56,14,896,224,912,240,1250.0,1330.0,513.0,593.0,1,194,49664.0,159.0,6.9919,0.0150,774.4138
57,14,912,224,928,240,1330.0,1410.0,513.0,593.0,1,185,47360.0,170.0,7.3906,0.0146,851.0633
7,15,112,240,128,256,-2670.0,-2590.0,433.0,513.0,1,431,110336.0,233.0,9.7287,0.0148,217.7610
8,15,128,240,144,256,-2590.0,-2510.0,433.0,513.0,1,438,112128.0,233.0,9.7811,0.0152,217.5224
9,15,144,240,160,256,-2510.0,-2430.0,433.0,513.0,1,439,112384.0,229.0,9.7724,0.0155,187.2760
10,15,160,240,176,256,-2430.0,-2350.0,433.0,513.0,1,433,110848.0,206.0,9.7027,0.0159,153.6121
11,15,176,240,192,256,-2350.0,-2270.0,433.0,513.0,1,429,109824.0,195.0,8.9674,0.0163,116.9008
12,15,192,240,208,256,-2270.0,-2190.0,433.0,513.0,1,427,109312.0,195.0,8.9526,0.0167,111.4311
13,15,208,240,224,256,-2190.0,-2110.0,433.0,513.0,1,431,110336.0,199.0,8.9674,0.0170,115.4510
14,15,224,240,240,256,-2110.0,-2030.0,433.0,513.0,1,438,112128.0,233.0,9.5328,0.0174,214.6942
15,15,240,240,256,256,-2030.0,-1950.0,433.0,513.0,1,462,118272.0,288.0,11.3756,0.0178,558.5172
16,15,256,240,272,256,-1950.0,-1870.0,433.0,513.0,1,482,123392.0,306.0,11.6184,0.0182,662.7935
17,15,272,240,288,256,-1870.0,-1790.0,433.0,513.0,1,497,127232.0,282.0,10.7573,0.0186,499.3236
18,15,288,240,304,256,-1790.0,-1710.0,433.0,513.0,1,516,132096.0,273.0,10.6002,0.0190,509.1984
19,15,304,240,320,256,-1710.0,-1630.0,433.0,513.0,1,520,133120.0,271.0,10.6416,0.0193,513.5767
20,15,320,240,336,256,-1630.0,-1550.0,433.0,513.0,1,511,130816.0,276.0,11.3047,0.0197,588.8251
21,15,336,240,352,256,-1550.0,-1470.0,433.0,513.0,1,494,126464.0,269.0,10.9742,0.0200,453.9796
22,15,352,240,368,256,-1470.0,-1390.0,433.0,513.0,1,524,134144.0,277.0,11.9238,0.0203,737.1888
23,15,368,240,384,256,-1390.0,-1310.0,433.0,513.0,1,529,135424.0,274.0,11.9762,0.0205,692.1751
24,15,384,240,400,256,-1310.0,-1230.0,433.0,513.0,1,546,139776.0,297.0,12.2045,0.0208,817.1569
25,15,400,240,416,256,-1230.0,-1150.0,433.0,513.0,1,560,143360.0,302.0,12.3429,0.0210,824.0399
26,15,416,240,432,256,-1150.0,-1070.0,433.0,513.0,1,566,144896.0,301.0,12.4132,0.0211,905.3379
27,15,432,240,448,256,-1070.0,-990.0,433.0,513.0,1,587,150272.0,336.0,12.7326,0.0212,1116.9309
